Product Family,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
A,190358.0,307420.0,278704.0,283536.0,219752.0,203184.0,358428.0,185184.0,264360.0,397904.0,294792.0,270776.0,415188.0,707604.0,386715.0,416504.0,598895.0,433908.0,644757.0,133996.0,638712.0,578116.0,433366.0,580969.0,259620.0,476468.0,349628.0,363348.0,291945.0,249762.0,426368.0,153103.0,358773.0,346990.0,308338.0,419898.0,354796.0,632458.0,480388.0,666486.0,448618.0,416810.0,678200.0,435950.0,616208.0,387282.0,639038.0,477618.0,558626.0,582908.0,522948.0,576144.0,433978.0
B,140534.0,152061.0,119501.0,113901.0,75220.0,166397.0,269196.0,17438.0,266455.0,285428.0,149307.0,39635.0,34983.0,164014.0,262669.0,318792.0,169475.0,235727.0,341679.0,5222.0,188743.0,142613.0,236906.0,258946.0,122584.0,101123.0,400340.0,146092.0,123207.0,239450.0,203104.0,114641.0,186194.0,257832.0,200230.0,365199.0,193882.0,414507.0,294261.0,175609.0,333654.0,280265.0,577910.0,28765.0,343272.0,347239.0,407821.0,174893.0,416912.0,274550.0,274805.0,137369.0,483521.0
C,70000.0,28000.0,161600.0,83800.0,143400.0,189600.0,162200.0,10800.0,200800.0,171400.0,81600.0,32400.0,50400.0,387600.0,257200.0,193200.0,131400.0,228800.0,135200.0,10000.0,278200.0,56000.0,156000.0,200000.0,192200.0,98400.0,288000.0,40800.0,274000.0,130000.0,337200.0,10800.0,267400.0,128000.0,188000.0,256200.0,115800.0,134800.0,161000.0,192200.0,102600.0,80400.0,201600.0,92000.0,106000.0,124000.0,42400.0,121600.0,64400.0,210800.0,84300.0,282800.0,98600.0
D,321900.0,261000.0,199000.0,236775.0,51750.0,188000.0,382750.0,26000.0,472600.0,286300.0,307200.0,329200.0,59000.0,138200.0,452950.0,204075.0,236200.0,132000.0,584000.0,2000.0,372300.0,70900.0,227900.0,72700.0,240000.0,98800.0,705000.0,88400.0,153000.0,393300.0,164000.0,300800.0,229400.0,70250.0,442900.0,695500.0,328000.0,267900.0,238500.0,93850.0,201675.0,446325.0,309650.0,208000.0,97650.0,153800.0,406350.0,198800.0,186625.0,276700.0,13000.0,140550.0,10200.0
E,15000.0,5000.0,536000.0,0.0,1469000.0,0.0,0.0,0.0,1012000.0,749000.0,0.0,1307000.0,10000.0,0.0,654000.0,0.0,291000.0,706000.0,0.0,0.0,779000.0,683000.0,0.0,216000.0,762000.0,15000.0,0.0,0.0,0.0,827000.0,50000.0,0.0,200000.0,626000.0,0.0,1094000.0,15000.0,659000.0,781000.0,0.0,60000.0,860000.0,843000.0,0.0,80000.0,754000.0,962000.0,5000.0,115000.0,881000.0,287000.0,0.0,1047000.0
F,60495.0,127084.0,1301054.0,22711.0,2490030.0,635864.0,93345.0,20502.0,1765684.0,1559614.0,47660.0,4015509.0,16603.0,41472.0,2180566.0,32759.0,1061219.0,485146.0,80640.0,4014.0,1474627.0,1109413.0,69659.0,503552.0,1444862.0,7910.0,54243.0,37580.0,1972.0,83657.0,1226.0,1229016.0,23048.0,927016.0,51005.0,916652.0,60663.0,776037.0,875082.0,110471.0,21007.0,2227032.0,1612561.0,100009.0,791119.0,2918305.0,968389.0,35371.0,214055.0,1687267.0,1969660.0,70431.0,1531581.0
G,48669.0,81998.0,207862.0,90724.0,35636.0,68560.0,143071.0,5000.0,120583.0,75854.0,155676.0,25551.0,85050.0,77172.0,175222.0,101601.0,44188.0,91913.0,101680.0,43918.0,40757.0,75599.0,86651.0,59719.0,101516.0,57331.0,70569.0,167182.0,59800.0,51136.0,78208.0,111912.0,105515.0,86624.0,161905.0,108026.0,45048.0,118887.0,113300.0,70855.0,113017.0,38377.0,81552.0,13120.0,33201.0,116031.0,90017.0,35019.0,40605.0,43028.0,58681.0,104436.0,44979.0
H,30370.0,62482.0,74232.0,27357.0,25035.0,68477.0,23234.0,19508.0,64090.0,90046.6,12333.0,33994.0,47924.0,32709.0,21025.0,56962.0,38958.0,31450.0,63579.0,61269.0,20077.0,74803.0,40052.4,47853.0,18269.0,78524.0,51022.2,87849.0,41691.0,107445.5,7876.0,8397.0,57584.0,27229.8,60992.0,26154.0,95237.0,66616.0,111594.9,76471.0,148865.0,41674.2,18443.0,6564.0,47390.0,57006.0,86091.0,103505.0,91986.0,82822.5,76872.0,78012.0,147640.0
I,2500.0,4163.0,0.0,0.0,6000.0,130.0,5000.0,0.0,205.0,495.0,2300.0,17000.0,10000.0,5000.0,500.0,200.0,95.0,12550.0,6958.0,2700.0,543.0,1050.0,0.0,0.0,300.0,10000.0,102.8,480.0,2.0,2700.0,4583.0,2000.0,0.0,82.0,1547.0,1000.0,1091.0,2500.0,300.0,2840.0,300.0,10680.0,0.0,300.0,799.0,1240.0,8015.0,3951.0,1950.0,40.0,2500.0,436.0,53041.0
J,501856.0,566253.0,117352.0,217802.0,20001.0,241779.0,12028.0,0.0,125001.0,0.0,51902.0,0.0,0.0,33001.0,142803.0,6152.0,17703.0,62480.0,4113.0,0.0,51003.0,231506.0,161004.0,15377.0,218403.0,275855.0,317281.0,323404.0,182608.0,154107.0,314254.0,145951.0,582532.0,161202.0,411479.0,265602.0,511053.0,478803.0,210654.0,519404.0,165681.0,676782.0,1022982.0,135602.0,127353.0,136202.0,163903.0,51001.0,295355.0,584152.0,36275.0,365856.0,193004.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14479.0,0.0,0.0,0.0,5600.0,5680.0,0.0,0.0,2000.0,0.0,0.0,0.0,34720.0,0.0,4712.0,9656.0,27477.0,15219.0,0.0,26400.0,33120.0,61600.0,31200.0,60000.0,55440.0,53040.0,0.0,49840.0,0.0,36000.0,22240.0,18880.0,36720.0,36000.0,67840.0,49360.0,0.0,79280.0,74640.0,82000.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2976.0,0.0,2800.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,0.0,0.0,504.0,4106.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115274.0,0.0,0.0,0.0,0.0,0.0,0.0,94581.2,0.0,11760.0,0.0,1000.0,1600.0,3400.0,227960.0,64600.0,10890.0,12400.0,15000.0,279599.2,1200.0,90576.0,306467.0,265134.0,433615.0,54167.0,358566.0,303862.0,199510.0,318360.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,23.0,0.0,58.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,2.0
O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46800.0,0.0,0.0,0.0,100750.0,0.0,0.0,32400.0,0.0,165600.0,0.0,75600.0,57600.0,100800.0,100800.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,8640.0,21024.0,105552.0,20016.0,448.0,11400.0,67800.0
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0
